"","Lon","Lat","FishNASC"
"166",-4.76115667,55.60401,46.345942
"167",-4.74627463,55.60080066,0
"168",-4.73142258,55.59755606,0
"169",-4.71655167,55.59429167,0
"170",-4.70546849,55.58889874,0
"171",-4.71728455,55.583558,0
"172",-4.73159233,55.57971767,0
"173",-4.74606667,55.575955,0
"174",-4.76047167,55.57214667,53.4965
"175",-4.77516667,55.56865949,782.546441
"176",-4.78993709,55.56531096,815.921386
"177",-4.80455318,55.56184066,525.966634
"178",-4.81925555,55.55833109,234.784264
"179",-4.83396167,55.55485333,10.068936
"180",-4.84848958,55.55128927,3307.974372
"181",-4.86296925,55.54749834,9895.699412
"182",-4.87756913,55.54353344,11133.409481
"183",-4.89246167,55.53931833,7651.495436
"184",-4.85974667,55.289715,0
"185",-4.86986833,55.28357667,0
"186",-4.884605,55.280315,0
"187",-4.89940667,55.27716333,52.212728
"188",-4.91399324,55.27365789,68.711185
"189",-4.92832733,55.27002739,0
"190",-4.9427605,55.26636633,40.140276
"191",-4.95723023,55.2626306,35.419092
"192",-4.97206253,55.25980549,101.704219
"193",-4.98686372,55.25675892,23.919057
"194",-5.00171271,55.25369873,220.48462
"195",-5.01652069,55.25064702,407.99509
"196",-5.03123913,55.247291,252.387364
"197",-5.04516305,55.24304934,192.826007
"198",-5.05920833,55.23911167,142.516376
"199",-5.07366277,55.23541135,211.972257
"200",-5.08222931,55.23092545,123.34264
"201",-5.06695091,55.22799622,86.504488
"202",-5.05319424,55.22363162,82.230635
"203",-5.03930494,55.21932887,4.456689
"204",-5.02520423,55.21537915,59.471093
"205",-5.01087252,55.21171677,129.698246
"206",-4.99653825,55.20800919,22.231399
"207",-4.98239501,55.20396174,0
"208",-4.96850667,55.19973667,0
"209",-4.95453588,55.19546142,0
"210",-4.94381333,55.18941,0
"211",-4.95659667,55.184415,0
"212",-4.96994968,55.17965329,199.624072
"213",-4.98376831,55.175393,234.584743
"214",-4.99763326,55.17106398,161.059746
"215",-5.01140667,55.166745,102.001724
"216",-5.025255,55.16248167,170.04014
